Store,Type,Size
1,C,39910
2,B,118221
3,A,151315
4,A,202307
5,B,37392
6,A,205863
7,B,34875
8,A,202505
9,B,70713
10,A,155078
11,B,125833
12,B,126512
13,A,207499
14,B,112238
15,A,219622
16,A,200898
17,B,123737
18,B,57197
19,B,93188
20,B,120653
21,A,203819
22,A,203742
23,B,140167
24,B,119557
25,B,114533
26,A,203819
27,B,128107
28,A,152513
29,A,204184
30,A,206302
31,B,93638
32,C,42988
33,A,203750
34,A,203007
35,A,39690
36,A,158114
37,B,103681
38,A,39910
39,C,39910
40,C,39690
41,A,184109
42,A,155083
43,A,196321
44,C,39690
